Fonte de Recursos,Despesa,Liquidado,
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900119 - ATRASADOS-OUTROS PODERES/MINIST.PUBLICO,"          79.760.504,67",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900124 - COMPLEMENTACAO DE APOSENTADORIA,"       1.850.834.374,26",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900125 - COMPLEMENTACAO DE APOSENTADORIA - 13∫SALARIO,"         124.536.202,87",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900325 - COMPLEMENTACAO DE PENSAO,"          10.948.297,00",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900326 - COMPLEMENTACAO DE PENSAO - 13∫ SALARIO,"             521.632,30",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900327 - ATRASADOS-OUTROS PODERES E MINISTERIO PUBLIC,"          29.687.439,37",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900701 - CONTRIBUICAO PATRONAL,"          85.701.614,80",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900801 - SALARIO FAMILIA - CIVIL,"           1.911.133,78",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900803 - SALARIO FAMILIA-INATIVOS DO EXECUTIVO,"              20.503,36",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900843 - AUXILIO-RECLUSAO (LC 1.012/07),"           2.035.758,60",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901111 - PESSOAL CIVIL PAGO PELO DDPE,"      24.250.904.009,59",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901112 - PESSOAL CIVIL PAGO PELA UNIDADE,"       8.308.253.867,35",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901128 - PESSOAL CIVIL PAGO PELO DDPE-13 SALARIO,"       1.950.291.607,10",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901129 - PESSOAL CIVIL PAGO PELA UNIDADE-13 SALARIO,"         730.955.200,08",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901130 - PESSOAL CIVIL PAGO PELO DDPE - 1/3 FERIAS,"         458.919.705,32",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901131 - PESSOAL CIVIL PAGO PELA UNIDADE-1/3 FERIAS,"         289.319.372,90",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901133 - VENCITOS.ATRASADOS-OUTR.PODERES E MINIST.PUB,"         224.938.928,41",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901136 - ABONO DE PERMANENCIA,"         596.465.744,00",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901137 - LICENCA PREMIO - PESSOAL CIVIL,"         198.524.686,15",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901201 - VENCIM.E VANTAG.FIXAS-PESSOAL MILITAR,"       5.627.183.235,05",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901209 - PESSOAL MILITAR-13 SALARIO,"         415.566.414,65",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901210 - PESSOAL MILITAR-1/3 FERIAS,"         155.487.592,10",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901211 - ABONO DE PERMANENCIA,"          36.562.520,37",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901212 - LICENCA PREMIO - PESSOAL MILITAR,"          69.645.973,30",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901312 - OUTRAS CONTRIBUICOES DE PREV.SOCIAL,"         398.021.884,97",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901313 - FUNDO DE GARANTIA POR TEMPO DE SERVICO,"         451.189.769,45",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901320 - OUTRAS CONTRIB.PREV.SOCIAL-13 SALARIO,"          33.739.322,18",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901321 - FGTS-13 SALARIO,"          11.948.435,68",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901322 - PARCELAM.DE DEBITOS JUNTO A PREV.SOCIAL,"         194.611.317,99",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901323 - PREVIDENCIA SOCIAL/PESSOAL CLT,"       1.193.470.771,92",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901324 - PREVIDENCIA SOCIAL/PESSOAL COMISSIONADO,"          73.652.050,20",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901327 - ENC.PATRO.POR DEMISSAO DE SERVIDOR/EMPREGADO,"             126.809,80",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901611 - VERBA HONORARIA,"         169.310.299,35",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901612 - VERBA HONORARIA-13 SALARIO,"             499.023,13",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901613 - HORA EXTRA,"          70.938.825,07",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901616 - DESPESAS EVENTUAIS DE PESSOAL CIVIL,"          14.101.579,29",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909208 - DESP.DE EXERC.ANTERIORES- PESSOAL REQUISITAD,"             884.643,35",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909226 - VENC. E VANTAGENS FIXAS DE EXERC. ANTERIORES,"         874.463.444,64",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909227 - INATIVOS DE EXERCÌCIOS ANTERIORES,"          38.249.168,95",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909228 - PENSIONISTAS DE EXERCICIOS ANTERIORES,"              92.275,91",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909229 - ENCARGOS SOCIAIS DE EXERCICIOS ANTERIORES,"           9.251.052,68",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909412 - INDENIZ.POR DEMISSAO DE SERVID.OU EMPREG.,"           5.209.164,95",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909413 - DESP.COM INCENTIVO A DEMISSAO VOLUNTARIA,"           8.126.920,82",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909416 - OUTRAS INDENIZACOES DE PESSOAL,"             815.554,59",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909434 - REEMB.FERIAS-OUTRO PODER E MIN.PUBL.-ATIVOS,"         179.185.129,36",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909435 - REMB.FERIAS-OUTRO PODER E MIN.PUBLI-INATIVOS,"           7.546.621,21",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909601 - RESSARC. DESP. PESS.REQUISITADO DE EMPRESAS,"         130.383.682,77",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909602 - RESSARC.DESP.PESS.REQUISITADO-OUTROS PODERES,"              61.584,81",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909603 - RESSARC. DESP.PESS.REQUISITADO-OUTRAS ESFERA,"           2.393.024,09",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31910701 - CONTRIBUICAO PATRONAL,"           4.899.509,00",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31910843 - AUXÌLIO-RECLUS„O (LC 1.012/07),"                 100,00",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31911113 - VENCIMENTOS,"         812.418.674,11",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31911301 - CONTRIB PATRONAL-SAO PAULO PREVIDENCIA-SPPRE,"       6.968.315.732,98",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31911302 - CONTRIB ESTADO P/COBERTURA INSUF FIN-SPPREV,"      21.706.490.260,05",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31911305 - OBRIGACOES PATRONAIS,"         193.632.144,59",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31911617 - OUTRAS DESPESAS VARIAVEIS-PESSOAL CIVIL,"           2.516.126,00",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31919224 - DESPESAS DE PESSOAL DE EXERCÌCIOS ANTERIORES,"          15.337.268,65",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31919417 - INDENIZACOES DE PESSOAL,"             630.359,87",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,32902110 - JUROS SOBRE A DIVIDA POR CONTRATO,"      11.090.925.359,74",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,32902121 - JUROS S/A DIVIDA EXTERNA POR CONTRATO,"         753.598.844,34",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,32902201 - ENCARGOS COM INSTITUICOES FINANCEIRAS,"                 132,16",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,32902210 - OUTROS ENCARGOS S/A DIVIDA POR CONTRATO,"         128.189.839,92",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,32902221 - ENCARGOS S/A DIVIDA EXTERNA POR CONTRATO,"          19.552.559,62",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,32912110 - JUROS SOBRE A DIVIDA POR CONTRATO,"          38.778.608,60",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,32912121 - JUROS S/A DIVIDA EXTERNA POR CONTRATO,"          15.748.535,75",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,32912210 - OUTROS ENCARGOS S/A DIVIDA POR CONTRATO,"             838.184,31",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,32912221 - ENCARGOS S/A DIVIDA EXTERNA POR CONTRATO,"             432.812,19",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33403001 - TRANSF.PARA MATERIAL DE CONSUMO,"         139.672.563,97",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33403347 - TRANSPORTE ESCOLAR,"         590.066.086,89",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33403901 - TRANSFERENCIAS PARA SERVICOS,"         233.543.382,98",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33413001 - TRANSFERENCIAS PARA MATERIAL DE CONSUMO,"          93.020.014,31",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33413901 - TRANSFERENCIAS PARA SERVICOS,"          21.996.246,03",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33413999 - OUTROS SERVICOS DE TERCEIROS,"         157.151.462,20",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33503977 - CONVENIOS C/ENTID.PRIVADAS S/FINS LUCRATIVOS,"          10.977.639,36",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33504104 - CONTR.A ENT.PRIVAD.S/FINS LUCRATIV  EXERC.AN,"             627.051,26",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33504106 - CONTR.A APM-PDDE PAULISTA-LEI 17.149/2019,"         426.899.500,00",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33504372 - LEITO-DIA                 EXERCICIO ANTERIOR,"             411.000,00",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33504374 - CONV.C/UNIV.E FACULD.S/FINS LUCRATIVOS,"         249.860.206,69",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33504376 - SUBVENCOES A ENTIDADES DE SAUDE,"         555.839.279,93",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33504379 - CONVENIOS COM ORGANIZACOES SOCIAIS,"         277.228.323,77",
